object:postcode, 1
object:street, 1
object:suburb, 1
addr:quarter:ja, 1
bath, 1
cabins, 1
emergency, 1
payment:lightning_contactless, 1
payment:qerko:lightning, 1
uir_adr:ADRESA_KOD, 1
payment:cryptocurrencies, 1
jacuzzi, 1
wpt_description, 1
atm, 1
jimgilbang, 1
divipola, 1
dataset, 1
dcgis:lot, 1
dcgis:square, 1
brothel, 1
alt_name:pl, 1
ref:linz:hydrographic_id, 1
seamark:type, 1
piste:leisure, 1
GNS:dsg_code, 1
GNS:dsg_name, 1
GNS:id, 1
wikipedia:ar, 1
affiliation, 1
dnt:classification, 1
dnt:discount, 1
dnt:iid, 1
service, 1
contact:email_1, 1
fee:url, 1
bett_and_bike:ref, 1
bettundbike, 1
contact:cellphone, 1
name:oc, 1
bottle, 1
update, 1
bicycle, 1
foot, 1
horse, 1
motorcar, 1
motorcycle, 1
addr:suite, 1
was:website, 1
addr:territoire, 1
description:covid19, 1
source:name:en, 1
manicure, 1
pedicure, 1
addr:flats, 1
water_access, 1
name:ar1, 1
services, 1
ref:FR:CRTA, 1
aerialway, 1
is_in:city, 1
is_in:country, 1
is_in:state, 1
disused:shop, 1
payment:edenred, 1
addr:door, 1
contact:addr, 1
opening_hours:fitness, 1
opening_hours:pool, 1
name:cy, 1
source_1, 1
addr:ja, 1
charge:disabled, 1
fee:disabled, 1
natural:id, 1
info, 1
name:sr-Latn, 1
ref:RS:kucni_broj, 1
language:ar, 1
name:is, 1
military, 1
alt_name:ar, 1
name:km, 1
payment:d払い, 1
second chance youth, 1
name:th-Latn, 1
name:tk, 1
fee:price, 1
name:af, 1
name:az, 1
altitude, 1
name:ms, 1
child_shelter, 1
opening_hours:en, 1
loc_name:ru, 1
surveillance:zone, 1
webcam, 1
name_en, 1
cafe, 1
drink:tea, 1
quantity, 1
disused:indoor, 1
disused:operator, 1
disused:sauna, 1
disused:sauna:fuel, 1
disused:sauna:heating, 1
wheelchair:description:de, 1
payment:szep, 1
